LipidSpecies,LipidClass,Mass,IsobaricClass,ChemicalFormula,DerivatizedForm,AdductIon,LipidCategory,ScanPolarity,Intensity:240506_lung_WT_45083_b.mzML,Intensity:240506_lung_KO_44938_a.mzML,Intensity:240506_Blank_49932_a.mzML,Intensity:240506_lung_WT_45084_a.mzML,Intensity:240506_QC_49936_b.mzML,Intensity:240506_lung_KO_44939_b.mzML,Intensity:240506_QC_49936_a.mzML,Intensity:240506_lung_KO_44939_a.mzML,Intensity:240506_Blank_49932_b.mzML,Intensity:240506_lung_WT_45084_b.mzML,Intensity:240506_lung_KO_44938_b.mzML,Intensity:240506_lung_WT_45083_a.mzML,IdentificationLevel,QuantificationIon,PrecursorIdentifier,FragmentAIdentifier,FragmentBIdentifier,FragmentCIdentifier,PrecursorIntensity:240506_lung_WT_45083_b.mzML,PrecursorIntensity:240506_lung_KO_44938_a.mzML,PrecursorIntensity:240506_Blank_49932_a.mzML,PrecursorIntensity:240506_lung_WT_45084_a.mzML,PrecursorIntensity:240506_QC_49936_b.mzML,PrecursorIntensity:240506_lung_KO_44939_b.mzML,PrecursorIntensity:240506_QC_49936_a.mzML,PrecursorIntensity:240506_lung_KO_44939_a.mzML,PrecursorIntensity:240506_Blank_49932_b.mzML,PrecursorIntensity:240506_lung_WT_45084_b.mzML,PrecursorIntensity:240506_lung_KO_44938_b.mzML,PrecursorIntensity:240506_lung_WT_45083_a.mzML,FragmentAIntensity:240506_lung_WT_45083_b.mzML,FragmentAIntensity:240506_lung_KO_44938_a.mzML,FragmentAIntensity:240506_Blank_49932_a.mzML,FragmentAIntensity:240506_lung_WT_45084_a.mzML,FragmentAIntensity:240506_QC_49936_b.mzML,FragmentAIntensity:240506_lung_KO_44939_b.mzML,FragmentAIntensity:240506_QC_49936_a.mzML,FragmentAIntensity:240506_lung_KO_44939_a.mzML,FragmentAIntensity:240506_Blank_49932_b.mzML,FragmentAIntensity:240506_lung_WT_45084_b.mzML,FragmentAIntensity:240506_lung_KO_44938_b.mzML,FragmentAIntensity:240506_lung_WT_45083_a.mzML,FragmentBIntensity:240506_lung_WT_45083_b.mzML,FragmentBIntensity:240506_lung_KO_44938_a.mzML,FragmentBIntensity:240506_Blank_49932_a.mzML,FragmentBIntensity:240506_lung_WT_45084_a.mzML,FragmentBIntensity:240506_QC_49936_b.mzML,FragmentBIntensity:240506_lung_KO_44939_b.mzML,FragmentBIntensity:240506_QC_49936_a.mzML,FragmentBIntensity:240506_lung_KO_44939_a.mzML,FragmentBIntensity:240506_Blank_49932_b.mzML,FragmentBIntensity:240506_lung_WT_45084_b.mzML,FragmentBIntensity:240506_lung_KO_44938_b.mzML,FragmentBIntensity:240506_lung_WT_45083_a.mzML,FragmentCIntensity:240506_lung_WT_45083_b.mzML,FragmentCIntensity:240506_lung_KO_44938_a.mzML,FragmentCIntensity:240506_Blank_49932_a.mzML,FragmentCIntensity:240506_lung_WT_45084_a.mzML,FragmentCIntensity:240506_QC_49936_b.mzML,FragmentCIntensity:240506_lung_KO_44939_b.mzML,FragmentCIntensity:240506_QC_49936_a.mzML,FragmentCIntensity:240506_lung_KO_44939_a.mzML,FragmentCIntensity:240506_Blank_49932_b.mzML,FragmentCIntensity:240506_lung_WT_45084_b.mzML,FragmentCIntensity:240506_lung_KO_44938_b.mzML,FragmentCIntensity:240506_lung_WT_45083_a.mzML,PrecursorERRppm,FragmentAERRppm,FragmentBERRppm,FragmentCERRppm,FragmentAMass,FragmentBMass,FragmentCMass,FragmentAAdductIon,FragmentBAdductIon,FragmentCAdductIon,FragmentAChemicalFormula,FragmentBChemicalFormula,FragmentCChemicalFormula,NeutralChemicalFormula
PE 16:0_20:1,PE,744.5555408413306,,C41 H79 O8 N1 P1,,-H+,Glycerophospholipid,negative,38951.6,71350.3,0.0,40335.7,38978.0,59600.6,34209.5,59096.8,0.0,47087.0,65459.1,45961.9,MS2,FragmentA and FragmentB,[PE 16:0_20:1 -H]-,FA 16:0 (+O),FA 20:1 (+O),,529334.7,730850.4,0.0,431710.9,478295.5,569263.6,398204.8,661051.2,0.0,493627.4,714289.6,604261.7,55898.0,94551.2,0.0,55544.4,49796.1,78403.7,45564.1,76953.7,0.0,62344.9,86958.6,64388.4,22005.1,48149.3,0.0,25127.0,28159.9,40797.5,22854.9,41239.9,0.0,31829.2,43959.6,27535.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,2.04,1.19,,255.2334747314453,309.2802734375,,-H+,-H+,,C16 H31 O2,C20 H37 O2,,C41 H80 O8 N1 P1
PE 18:0_18:1,PE,744.5555408413306,,C41 H79 O8 N1 P1,,-H+,Glycerophospholipid,negative,482214.4,727888.5,0.0,401855.2,455739.4,589134.2,398719.4,582605.6,0.0,501739.9,623351.7,568367.0,MS2,FragmentA and FragmentB,[PE 18:0_18:1 -H]-,FA 18:0 (+O),FA 18:1 (+O),,529334.7,730850.4,0.0,431710.9,478295.5,569263.6,398204.8,661051.2,0.0,493627.4,714289.6,604261.7,252722.6,366046.1,0.0,203792.5,229548.5,292037.4,201294.4,292970.4,0.0,252686.7,320815.0,288646.6,711706.3,1089731.0,0.0,599917.9,681930.3,886231.0,596144.3,872240.8,0.0,750793.2,925888.4,848087.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.53,0.73,,283.264404296875,281.2488098144531,,-H+,-H+,,C18 H35 O2,C18 H33 O2,,C41 H80 O8 N1 P1
PE 16:2_22:4,PE,762.5084929109715,,C43 H73 O8 N1 P1,,-H+,Glycerophospholipid,negative,0.0,6281.6,0.0,0.0,0.0,4737.7,0.0,5392.7,0.0,0.0,4298.2,4237.0,MS2,FragmentA and FragmentB,[PE 16:2_22:4 -H]-,FA 16:2 (+O),FA 22:4 (+O),,0.0,956600.0,0.0,0.0,0.0,893193.0,0.0,794852.5,0.0,0.0,861725.2,836915.6,0.0,938.2,0.0,0.0,0.0,1369.8,0.0,1443.7,0.0,0.0,1495.4,1391.9,0.0,11625.0,0.0,0.0,0.0,8105.6,0.0,9341.7,0.0,0.0,7101.1,7082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,1.23,1.19,,251.20196533203125,331.2646484375,,-H+,-H+,,C16 H27 O2,C22 H35 O2,,C43 H74 O8 N1 P1
PE 18:3_20:3,PE,762.5084929109715,,C43 H73 O8 N1 P1,,-H+,Glycerophospholipid,negative,0.0,6594.8,0.0,0.0,0.0,6580.3,0.0,6592.9,0.0,0.0,5790.7,0.0,MS2,FragmentA and FragmentB,[PE 18:3_20:3 -H]-,FA 18:3 (+O),FA 20:3 (+O),,0.0,956600.0,0.0,0.0,0.0,893193.0,0.0,794852.5,0.0,0.0,861725.2,0.0,0.0,2056.6,0.0,0.0,0.0,1973.4,0.0,1016.5,0.0,0.0,981.8,0.0,0.0,11133.0,0.0,0.0,0.0,11187.2,0.0,12169.3,0.0,0.0,10599.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,1.58,0.47,,277.2177429199219,305.2487487792969,,-H+,-H+,,C18 H29 O2,C20 H33 O2,,C43 H74 O8 N1 P1
PE 18:1_20:5,PE,762.5084929109715,,C43 H73 O8 N1 P1,,-H+,Glycerophospholipid,negative,0.0,38268.1,0.0,0.0,22989.7,28552.3,21276.7,31549.8,0.0,28407.3,27708.4,19771.6,MS2,FragmentA and FragmentB,[PE 18:1_20:5 -H]-,FA 18:1 (+O),FA 20:5 (+O),,0.0,956600.0,0.0,0.0,712502.2,893193.0,610984.5,794852.5,0.0,768454.7,861725.2,836915.6,0.0,71596.6,0.0,0.0,44633.2,52057.9,38921.0,61437.1,0.0,52255.4,50616.9,38259.8,0.0,4939.7,0.0,0.0,1346.3,5046.7,3632.4,1662.5,0.0,4559.1,4799.8,1283.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.4,-0.27,,281.24871826171875,301.21722412109375,,-H+,-H+,,C18 H33 O2,C20 H29 O2,,C43 H74 O8 N1 P1
PE 16:1_22:5,PE,762.5085447057604,,C43 H73 O8 N1 P1,,-H+,Glycerophospholipid,negative,54982.8,80538.8,0.0,36662.7,61146.7,62434.4,49375.6,68564.0,0.0,57440.6,55626.9,50722.7,MS2,FragmentA and FragmentB,[PE 16:1_22:5 -H]-,FA 16:1 (+O),FA 22:5 (+O),,698491.5,956600.0,0.0,733733.2,712502.2,893193.0,610984.5,794852.5,0.0,768454.7,861725.2,836915.6,94098.2,124890.6,0.0,58999.8,104712.0,94806.0,85977.2,111399.2,0.0,96711.2,80012.9,84829.5,15867.5,36187.1,0.0,14325.6,17581.4,30062.8,12774.0,25728.8,0.0,18169.9,31240.8,16616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,1.97,1.27,,253.21780395507812,329.2490234375,,-H+,-H+,,C16 H29 O2,C22 H33 O2,,C43 H74 O8 N1 P1
PE 16:0_22:6,PE,762.5085447057604,,C43 H73 O8 N1 P1,,-H+,Glycerophospholipid,negative,220922.8,287607.8,0.0,205238.7,238213.6,222142.9,193935.8,236046.6,0.0,261715.0,241651.8,242501.8,MS2,FragmentA and FragmentB,[PE 16:0_22:6 -H]-,FA 16:0 (+O),FA 22:6 (+O),,698491.5,956600.0,0.0,733733.2,712502.2,893193.0,610984.5,794852.5,0.0,768454.7,861725.2,836915.6,341138.3,430294.4,0.0,309170.7,355765.1,334417.9,305912.0,356958.4,0.0,401914.9,363057.4,368707.5,100707.4,144921.2,0.0,101306.7,120662.2,109868.0,81959.7,115134.8,0.0,121515.1,120246.3,116296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,2.04,0.98,,255.2334747314453,327.2332763671875,,-H+,-H+,,C16 H31 O2,C22 H31 O2,,C43 H74 O8 N1 P1
PE 18:2_20:4,PE,762.5085447057604,,C43 H73 O8 N1 P1,,-H+,Glycerophospholipid,negative,50085.7,62513.2,0.0,36168.2,36359.3,41051.2,37436.9,44125.0,0.0,45940.9,54726.6,49640.6,MS2,FragmentA and FragmentB,[PE 18:2_20:4 -H]-,FA 18:2 (+O),FA 20:4 (+O),,698491.5,956600.0,0.0,733733.2,712502.2,893193.0,610984.5,794852.5,0.0,768454.7,861725.2,836915.6,55221.7,65537.5,0.0,41973.5,41350.8,49127.2,42590.4,46897.8,0.0,47419.9,56928.0,58688.4,44949.7,59488.8,0.0,30363.0,31367.8,32975.1,32283.5,41352.3,0.0,44461.9,52525.2,40592.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.71,0.96,,279.233154296875,303.2332458496094,,-H+,-H+,,C18 H31 O2,C20 H31 O2,,C43 H74 O8 N1 P1
PE 16:1_22:4,PE,764.5243268563518,,C43 H75 O8 N1 P1,,-H+,Glycerophospholipid,negative,59394.9,95875.6,0.0,45194.8,39340.5,85501.7,47333.2,83319.8,0.0,46963.8,67247.4,74968.6,MS2,FragmentA and FragmentB,[PE 16:1_22:4 -H]-,FA 16:1 (+O),FA 22:4 (+O),,868194.9,1239198.2,0.0,720672.6,708678.4,1154751.0,564239.2,1019758.7,0.0,731070.9,1070816.8,985263.4,56927.9,107898.1,0.0,43699.5,45189.9,105145.1,57928.3,99222.9,0.0,39101.8,75415.2,72092.9,61861.9,83853.0,0.0,46690.2,33491.1,65858.3,36738.2,67416.8,0.0,54825.7,59079.6,77844.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.09,1.28,,253.21783447265625,331.2646789550781,,-H+,-H+,,C16 H29 O2,C22 H35 O2,,C43 H76 O8 N1 P1
PE 16:0_22:5,PE,764.5243268563518,,C43 H75 O8 N1 P1,,-H+,Glycerophospholipid,negative,500132.2,598725.0,0.0,505726.8,506496.5,532226.9,488281.4,545143.1,0.0,490230.5,482865.5,632258.4,MS2,FragmentA and FragmentB,[PE 16:0_22:5 -H]-,FA 16:0 (+O),FA 22:5 (+O),,868194.9,1239198.2,0.0,720672.6,708678.4,1154751.0,564239.2,1019758.7,0.0,731070.9,1070816.8,985263.4,869160.8,1022171.5,0.0,898238.5,912755.3,907035.7,877946.4,918170.9,0.0,860858.4,816853.6,1103915.5,131103.7,175278.6,0.0,113215.1,100237.7,157418.2,98616.3,172115.2,0.0,119602.7,148877.5,160601.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,1.92,0.9,,255.2334442138672,329.2489013671875,,-H+,-H+,,C16 H31 O2,C22 H33 O2,,C43 H76 O8 N1 P1
PE 18:2_20:3,PE,764.5243268563518,,C43 H75 O8 N1 P1,,-H+,Glycerophospholipid,negative,20094.5,29296.2,0.0,21786.3,17441.9,21715.1,18078.5,22695.9,0.0,20737.3,23866.6,24652.3,MS2,FragmentA and FragmentB,[PE 18:2_20:3 -H]-,FA 18:2 (+O),FA 20:3 (+O),,868194.9,1239198.2,0.0,720672.6,708678.4,1154751.0,564239.2,1019758.7,0.0,731070.9,1070816.8,985263.4,28250.4,42688.8,0.0,33286.6,30112.2,35600.7,29722.7,35515.7,0.0,30641.1,32128.1,38622.3,11938.5,15903.6,0.0,10285.9,4771.6,7829.6,6434.2,9876.1,0.0,10833.5,15605.1,10682.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.49,0.57,,279.23309326171875,305.248779296875,,-H+,-H+,,C18 H31 O2,C20 H33 O2,,C43 H76 O8 N1 P1
PE 18:1_20:4,PE,764.5243268563518,,C43 H75 O8 N1 P1,,-H+,Glycerophospholipid,negative,293183.1,467509.6,0.0,259659.1,230933.9,381143.3,202403.9,383633.5,0.0,252477.5,384048.8,378261.8,MS2,FragmentA and FragmentB,[PE 18:1_20:4 -H]-,FA 18:1 (+O),FA 20:4 (+O),,868194.9,1239198.2,0.0,720672.6,708678.4,1154751.0,564239.2,1019758.7,0.0,731070.9,1070816.8,985263.4,250839.6,398203.1,0.0,222855.6,195213.7,324879.8,165682.0,332772.5,0.0,211816.5,341371.1,325739.5,335526.6,536816.1,0.0,296462.7,266654.2,437406.8,239125.7,434494.6,0.0,293138.4,426726.5,430784.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.73,0.76,,281.2488098144531,303.2331848144531,,-H+,-H+,,C18 H33 O2,C20 H31 O2,,C43 H76 O8 N1 P1
PE 18:0_20:5,PE,764.5243268563518,,C43 H75 O8 N1 P1,,-H+,Glycerophospholipid,negative,11225.5,23671.0,0.0,14128.1,9974.7,19695.8,13107.4,22738.0,0.0,11513.1,16813.6,15638.0,MS2,FragmentA and FragmentB,[PE 18:0_20:5 -H]-,FA 18:0 (+O),FA 20:5 (+O),,868194.9,1239198.2,0.0,720672.6,708678.4,1154751.0,564239.2,1019758.7,0.0,731070.9,1070816.8,985263.4,16245.9,32333.2,0.0,21930.6,15181.9,27267.1,20244.0,31358.9,0.0,15677.4,21727.3,25839.7,6205.1,15008.8,0.0,6325.6,4767.5,12124.5,5970.7,14117.1,0.0,7348.8,11899.9,5436.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.96,0.74,,283.2645263671875,301.217529296875,,-H+,-H+,,C18 H35 O2,C20 H29 O2,,C43 H76 O8 N1 P1
PE 16:1_22:3,PE,766.5398884035467,,C43 H77 O8 N1 P1,,-H+,Glycerophospholipid,negative,362669.4,0.0,0.0,0.0,0.0,0.0,0.0,549020.7,0.0,431573.0,0.0,348546.9,MS2,FragmentA and FragmentB,[PE 16:1_22:3 -H]-,FA 16:1 (+O),FA 22:3 (+O),,3148944.9,0.0,0.0,0.0,0.0,0.0,0.0,3365581.7,0.0,2772717.2,0.0,3717980.0,723604.1,0.0,0.0,0.0,0.0,0.0,0.0,1093349.0,0.0,861685.8,0.0,693535.5,1734.8,0.0,0.0,0.0,0.0,0.0,0.0,4692.5,0.0,1460.2,0.0,3558.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,1.85,1.38,,253.2177734375,333.2803649902344,,-H+,-H+,,C16 H29 O2,C22 H37 O2,,C43 H78 O8 N1 P1
PE 16:0_22:4,PE,766.5398884035467,,C43 H77 O8 N1 P1,,-H+,Glycerophospholipid,negative,399073.5,529748.8,0.0,340512.6,344171.7,504268.3,297161.9,506628.3,0.0,330719.7,440474.6,329245.2,MS2,FragmentA and FragmentB,[PE 16:0_22:4 -H]-,FA 16:0 (+O),FA 22:4 (+O),,3148944.9,3866432.9,0.0,2495736.6,2493505.9,3607743.9,2073632.6,3365581.7,0.0,2772717.2,3637385.7,3717980.0,516308.0,683109.8,0.0,468796.3,484559.8,691800.1,422742.5,696010.1,0.0,417426.3,562678.5,359713.2,281839.0,376387.8,0.0,212228.9,203783.6,316736.5,171581.3,317246.6,0.0,244013.2,318270.7,298777.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,1.8,0.91,,255.23341369628903,331.2645568847656,,-H+,-H+,,C16 H31 O2,C22 H35 O2,,C43 H78 O8 N1 P1
PE 18:2_20:2,PE,766.5398884035467,,C43 H77 O8 N1 P1,,-H+,Glycerophospholipid,negative,14070.6,12740.3,0.0,10929.8,5873.3,6991.5,6054.3,10991.1,0.0,11633.4,11703.2,8371.8,MS2,FragmentA and FragmentB,[PE 18:2_20:2 -H]-,FA 18:2 (+O),FA 20:2 (+O),,3148944.9,3866432.9,0.0,2495736.6,2493505.9,3607743.9,2073632.6,3365581.7,0.0,2772717.2,3637385.7,3717980.0,19695.2,14626.6,0.0,18984.0,9870.1,9203.8,10221.5,17554.9,0.0,17441.5,20247.6,12519.1,8446.0,10853.9,0.0,2875.5,1876.5,4779.2,1887.1,4427.3,0.0,5825.2,3158.9,4224.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.06,0.48,,279.23297119140625,307.264404296875,,-H+,-H+,,C18 H31 O2,C20 H35 O2,,C43 H78 O8 N1 P1
PE 18:1_20:3,PE,766.5398884035467,,C43 H77 O8 N1 P1,,-H+,Glycerophospholipid,negative,55576.2,79404.0,0.0,38315.1,38674.2,62278.9,29833.9,64757.6,0.0,38888.7,69276.1,46051.0,MS2,FragmentA and FragmentB,[PE 18:1_20:3 -H]-,FA 18:1 (+O),FA 20:3 (+O),,3148944.9,3866432.9,0.0,2495736.6,2493505.9,3607743.9,2073632.6,3365581.7,0.0,2772717.2,3637385.7,3717980.0,59197.6,55767.0,0.0,33542.6,30486.6,49899.9,18080.0,46571.6,0.0,20812.2,44536.9,28257.7,51954.9,103041.0,0.0,43087.5,46861.8,74657.9,41587.8,82943.6,0.0,56965.1,94015.2,63844.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.73,0.17,,281.2488098144531,305.2486572265625,,-H+,-H+,,C18 H33 O2,C20 H33 O2,,C43 H78 O8 N1 P1
PE 18:0_20:4,PE,766.5398884035467,,C43 H77 O8 N1 P1,,-H+,Glycerophospholipid,negative,1434670.2,2048124.4,0.0,1014048.8,1140929.8,1594057.8,963368.8,1602383.0,0.0,1322615.3,1636209.9,1567180.1,MS2,FragmentA and FragmentB,[PE 18:0_20:4 -H]-,FA 18:0 (+O),FA 20:4 (+O),,3148944.9,3866432.9,0.0,2495736.6,2493505.9,3607743.9,2073632.6,3365581.7,0.0,2772717.2,3637385.7,3717980.0,1151839.5,1682284.5,0.0,827225.9,914276.1,1285881.4,795931.5,1320329.8,0.0,1055185.0,1329105.8,1315615.7,1717500.9,2413964.3,0.0,1200871.7,1367583.4,1902234.1,1130806.1,1884436.2,0.0,1590045.5,1943314.0,1818744.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,0.76,,283.2644348144531,303.2331848144531,,-H+,-H+,,C18 H35 O2,C20 H31 O2,,C43 H78 O8 N1 P1
PE 16:1_22:2,PE,768.5556465824783,,C43 H79 O8 N1 P1,,-H+,Glycerophospholipid,negative,100486.9,141751.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127856.4,MS2,FragmentA and FragmentB,[PE 16:1_22:2 -H]-,FA 16:1 (+O),FA 22:2 (+O),,278342.0,439385.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320301.8,199794.3,282141.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254679.1,1179.5,1361.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.15,0.29,,253.2178497314453,335.295654296875,,-H+,-H+,,C16 H29 O2,C22 H39 O2,,C43 H80 O8 N1 P1
PE 16:0_22:3,PE,768.5556465824783,,C43 H79 O8 N1 P1,,-H+,Glycerophospholipid,negative,1110735.3,1413344.0,0.0,1506731.3,1588080.9,1201968.3,1500619.3,1346176.0,0.0,1272133.2,1257484.5,1305709.7,MS2,FragmentA and FragmentB,[PE 16:0_22:3 -H]-,FA 16:0 (+O),FA 22:3 (+O),,278342.0,439385.4,0.0,285753.8,253646.9,415304.3,206692.9,369467.3,0.0,308794.9,385975.8,320301.8,2210128.0,2816108.5,0.0,3006377.3,3164915.2,2388786.0,2994335.9,2678864.3,0.0,2536985.1,2503683.0,2600077.4,11342.7,10579.6,0.0,7085.3,11246.6,15150.5,6902.7,13487.7,0.0,7281.3,11286.0,11342.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,0.65,,255.23341369628903,333.2801208496094,,-H+,-H+,,C16 H31 O2,C22 H37 O2,,C43 H80 O8 N1 P1
PE 18:1_20:2,PE,768.5556465824783,,C43 H79 O8 N1 P1,,-H+,Glycerophospholipid,negative,25919.9,36038.4,0.0,22956.6,24306.4,28176.6,18063.4,27395.8,0.0,22623.6,34444.7,25153.6,MS2,FragmentA and FragmentB,[PE 18:1_20:2 -H]-,FA 18:1 (+O),FA 20:2 (+O),,278342.0,439385.4,0.0,285753.8,253646.9,415304.3,206692.9,369467.3,0.0,308794.9,385975.8,320301.8,32216.6,39996.5,0.0,28486.8,25559.0,29843.5,22481.2,28506.0,0.0,28322.0,42518.1,27524.7,19623.2,32080.4,0.0,17426.4,23053.9,26509.8,13645.6,26285.6,0.0,16925.2,26371.3,22782.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.68,,281.24871826171875,307.26446533203125,,-H+,-H+,,C18 H33 O2,C20 H35 O2,,C43 H80 O8 N1 P1
PE 18:0_20:3,PE,768.5556465824783,,C43 H79 O8 N1 P1,,-H+,Glycerophospholipid,negative,205754.4,316580.1,0.0,220150.9,195417.3,261073.8,158188.1,287203.9,0.0,198129.3,273524.3,243413.6,MS2,FragmentA and FragmentB,[PE 18:0_20:3 -H]-,FA 18:0 (+O),FA 20:3 (+O),,278342.0,439385.4,0.0,285753.8,253646.9,415304.3,206692.9,369467.3,0.0,308794.9,385975.8,320301.8,124073.7,178160.9,0.0,145891.3,122437.6,151890.0,91950.5,157252.0,0.0,108658.4,158953.1,153812.5,287435.1,454999.3,0.0,294410.5,268397.1,370257.6,224425.6,417155.9,0.0,287600.1,388095.5,333014.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.53,0.27,,283.264404296875,305.2486877441406,,-H+,-H+,,C18 H35 O2,C20 H33 O2,,C43 H80 O8 N1 P1
PE 16:0_22:2,PE,770.5711054693921,,C43 H81 O8 N1 P1,,-H+,Glycerophospholipid,negative,0.0,470087.8,0.0,430799.7,0.0,388100.5,0.0,423690.8,0.0,469517.7,400422.1,459731.7,MS2,FragmentA and FragmentB,[PE 16:0_22:2 -H]-,FA 16:0 (+O),FA 22:2 (+O),,0.0,13279.0,0.0,-1.7,0.0,-1.7,0.0,23843.3,0.0,-1.7,-1.7,-1.7,0.0,938322.3,0.0,860057.9,0.0,774363.3,0.0,843678.2,0.0,936815.1,799115.3,917609.5,0.0,1853.2,0.0,1541.4,0.0,1837.7,0.0,3703.5,0.0,2220.4,1728.8,1853.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.56,1.2,,255.2333526611328,335.29595947265625,,-H+,-H+,,C16 H31 O2,C22 H39 O2,,C43 H82 O8 N1 P1
PE 16:1_22:1,PE,770.5715019723727,,C43 H81 O8 N1 P1,,-H+,Glycerophospholipid,negative,5036.9,12908.2,0.0,6142.6,0.0,9169.6,0.0,12295.8,0.0,7906.7,10682.5,9917.8,MS2,FragmentA and FragmentB,[PE 16:1_22:1 -H]-,FA 16:1 (+O),FA 22:1 (+O),,-1.7,13279.0,0.0,-1.7,0.0,-1.7,0.0,23843.3,0.0,-1.7,-1.7,-1.7,8725.5,22168.5,0.0,11336.8,0.0,16175.9,0.0,23023.6,0.0,14316.9,19160.4,17849.7,1348.4,3647.9,0.0,948.5,0.0,2163.3,0.0,1568.1,0.0,1496.6,2204.6,1985.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,1.97,1.12,,253.21780395507812,337.31158447265625,,-H+,-H+,,C16 H29 O2,C22 H41 O2,,C43 H82 O8 N1 P1
PE 18:1_20:1,PE,770.5715019723727,,C43 H81 O8 N1 P1,,-H+,Glycerophospholipid,negative,27000.9,66521.7,0.0,27945.6,0.0,60228.6,0.0,54455.5,0.0,33906.0,56716.5,44963.9,MS2,FragmentA and FragmentB,[PE 18:1_20:1 -H]-,FA 18:1 (+O),FA 20:1 (+O),,-1.7,13279.0,0.0,-1.7,0.0,-1.7,0.0,23843.3,0.0,-1.7,-1.7,-1.7,41040.9,87943.7,0.0,37429.7,0.0,80845.0,0.0,67263.5,0.0,43887.7,78374.7,60301.8,12960.8,45099.7,0.0,18461.5,0.0,39612.1,0.0,41647.4,0.0,23924.4,35058.4,29626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.62,0.6,,281.248779296875,309.28009033203125,,-H+,-H+,,C18 H33 O2,C20 H37 O2,,C43 H82 O8 N1 P1
PE 18:0_20:2,PE,770.5715019723727,,C43 H81 O8 N1 P1,,-H+,Glycerophospholipid,negative,28203.4,40493.0,0.0,28415.1,0.0,33057.5,0.0,29320.5,0.0,32611.7,36067.9,41008.7,MS2,FragmentA and FragmentB,[PE 18:0_20:2 -H]-,FA 18:0 (+O),FA 20:2 (+O),,-1.7,13279.0,0.0,-1.7,0.0,-1.7,0.0,23843.3,0.0,-1.7,-1.7,-1.7,19382.4,32498.0,0.0,19048.0,0.0,28244.2,0.0,18413.8,0.0,26690.5,30293.3,29677.5,37024.4,48488.1,0.0,37782.2,0.0,37870.8,0.0,40227.3,0.0,38533.0,41842.5,52339.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.74,0.39,,283.26446533203125,307.2643737792969,,-H+,-H+,,C18 H35 O2,C20 H35 O2,,C43 H82 O8 N1 P1
