LipidSpecies,LipidClass,Mass,IsobaricClass,ChemicalFormula,DerivatizedForm,AdductIon,LipidCategory,ScanPolarity,Intensity:240506_lung_WT_45084_a.mzML,Intensity:240506_lung_WT_45083_b.mzML,Intensity:240506_lung_KO_44938_a.mzML,Intensity:240506_Blank_49932_a.mzML,Intensity:240506_lung_KO_44939_b.mzML,Intensity:240506_Blank_49932_b.mzML,Intensity:240506_QC_49936_a.mzML,Intensity:240506_lung_KO_44939_a.mzML,Intensity:240506_lung_KO_44938_b.mzML,Intensity:240506_lung_WT_45084_b.mzML,Intensity:240506_lung_WT_45083_a.mzML,Intensity:240506_QC_49936_b.mzML,IdentificationLevel,QuantificationIon,PrecursorIdentifier,FragmentAIdentifier,FragmentBIdentifier,FragmentCIdentifier,PrecursorIntensity:240506_lung_WT_45084_a.mzML,PrecursorIntensity:240506_lung_WT_45083_b.mzML,PrecursorIntensity:240506_lung_KO_44938_a.mzML,PrecursorIntensity:240506_Blank_49932_a.mzML,PrecursorIntensity:240506_lung_KO_44939_b.mzML,PrecursorIntensity:240506_Blank_49932_b.mzML,PrecursorIntensity:240506_QC_49936_a.mzML,PrecursorIntensity:240506_lung_KO_44939_a.mzML,PrecursorIntensity:240506_lung_KO_44938_b.mzML,PrecursorIntensity:240506_lung_WT_45084_b.mzML,PrecursorIntensity:240506_lung_WT_45083_a.mzML,PrecursorIntensity:240506_QC_49936_b.mzML,FragmentAIntensity:240506_lung_WT_45084_a.mzML,FragmentAIntensity:240506_lung_WT_45083_b.mzML,FragmentAIntensity:240506_lung_KO_44938_a.mzML,FragmentAIntensity:240506_Blank_49932_a.mzML,FragmentAIntensity:240506_lung_KO_44939_b.mzML,FragmentAIntensity:240506_Blank_49932_b.mzML,FragmentAIntensity:240506_QC_49936_a.mzML,FragmentAIntensity:240506_lung_KO_44939_a.mzML,FragmentAIntensity:240506_lung_KO_44938_b.mzML,FragmentAIntensity:240506_lung_WT_45084_b.mzML,FragmentAIntensity:240506_lung_WT_45083_a.mzML,FragmentAIntensity:240506_QC_49936_b.mzML,FragmentBIntensity:240506_lung_WT_45084_a.mzML,FragmentBIntensity:240506_lung_WT_45083_b.mzML,FragmentBIntensity:240506_lung_KO_44938_a.mzML,FragmentBIntensity:240506_Blank_49932_a.mzML,FragmentBIntensity:240506_lung_KO_44939_b.mzML,FragmentBIntensity:240506_Blank_49932_b.mzML,FragmentBIntensity:240506_QC_49936_a.mzML,FragmentBIntensity:240506_lung_KO_44939_a.mzML,FragmentBIntensity:240506_lung_KO_44938_b.mzML,FragmentBIntensity:240506_lung_WT_45084_b.mzML,FragmentBIntensity:240506_lung_WT_45083_a.mzML,FragmentBIntensity:240506_QC_49936_b.mzML,FragmentCIntensity:240506_lung_WT_45084_a.mzML,FragmentCIntensity:240506_lung_WT_45083_b.mzML,FragmentCIntensity:240506_lung_KO_44938_a.mzML,FragmentCIntensity:240506_Blank_49932_a.mzML,FragmentCIntensity:240506_lung_KO_44939_b.mzML,FragmentCIntensity:240506_Blank_49932_b.mzML,FragmentCIntensity:240506_QC_49936_a.mzML,FragmentCIntensity:240506_lung_KO_44939_a.mzML,FragmentCIntensity:240506_lung_KO_44938_b.mzML,FragmentCIntensity:240506_lung_WT_45084_b.mzML,FragmentCIntensity:240506_lung_WT_45083_a.mzML,FragmentCIntensity:240506_QC_49936_b.mzML,PrecursorERRppm,FragmentAERRppm,FragmentBERRppm,FragmentCERRppm,FragmentAMass,FragmentBMass,FragmentCMass,FragmentAAdductIon,FragmentBAdductIon,FragmentCAdductIon,FragmentAChemicalFormula,FragmentBChemicalFormula,FragmentCChemicalFormula,NeutralChemicalFormula
PE O-16:0/22:5,PE O-,750.5450519081536,,C43 H77 O7 N1 P1,,-H+,Glycerophospholipid,negative,2872.2,11625.9,0.0,0.0,-1.7,0.0,-1.7,32726.8,-1.7,198.4,35037.3,0.0,MS2,FragmentB,[PE O-16:0/22:5 -H]-,-FA 22:5 (+HO),FA 22:5 (+O),,3224412.5,3766884.6,0.0,0.0,5145745.5,0.0,2371720.3,4547891.7,4835612.1,3581848.8,4267225.0,0.0,7101.6,3401.3,0.0,0.0,10451.6,0.0,5936.2,14452.9,11795.0,8380.2,11396.1,0.0,2872.2,11625.9,0.0,0.0,-1.7,0.0,-1.7,32726.8,-1.7,198.4,35037.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,1.42,1.08,,438.2996215820313,329.2489624023437,,-H+,-H+,,C21 H45 O6 N1 P1,C22 H33 O2,,C43 H78 O7 N1 P1
PE O-18:2/20:3,PE O-,750.5450519081536,,C43 H77 O7 N1 P1,,-H+,Glycerophospholipid,negative,76462.2,82428.0,156971.6,0.0,130549.9,0.0,53935.2,149724.6,144460.0,74075.8,95582.9,67362.4,MS2,FragmentB,[PE O-18:2/20:3 -H]-,-FA 20:3 (+HO),FA 20:3 (+O),,3224412.5,3766884.6,5369584.0,0.0,5145745.5,0.0,2371720.3,4547891.7,4835612.1,3581848.8,4267225.0,2846096.1,7959.7,1239.0,6686.8,0.0,8766.3,0.0,2802.9,13836.0,21424.8,7873.1,8372.8,8232.2,76462.2,82428.0,156971.6,0.0,130549.9,0.0,53935.2,149724.6,144460.0,74075.8,95582.9,67362.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,1.74,0.07,,462.2998046875,305.2486267089844,,-H+,-H+,,C23 H45 O6 N1 P1,C20 H33 O2,,C43 H78 O7 N1 P1
PE O-18:1/20:4,PE O-,750.5450519081536,,C43 H77 O7 N1 P1,,-H+,Glycerophospholipid,negative,956567.4,1118786.6,1507297.2,0.0,1102347.9,0.0,667097.4,1227187.7,1327763.5,965827.8,1364304.2,838407.4,MS2,FragmentB,[PE O-18:1/20:4 -H]-,-FA 20:4 (+HO),FA 20:4 (+O),,3224412.5,3766884.6,5369584.0,0.0,5145745.5,0.0,2371720.3,4547891.7,4835612.1,3581848.8,4267225.0,2846096.1,221054.7,269736.0,326622.6,0.0,262782.4,0.0,143692.7,284041.0,327213.7,212235.2,281728.8,191388.1,956567.4,1118786.6,1507297.2,0.0,1102347.9,0.0,667097.4,1227187.7,1327763.5,965827.8,1364304.2,838407.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.96,0.66,,464.3150939941406,303.233154296875,,-H+,-H+,,C23 H47 O6 N1 P1,C20 H31 O2,,C43 H78 O7 N1 P1
PE O-16:1/22:3,PE O-,752.5608489258783,,C43 H79 O7 N1 P1,,-H+,Glycerophospholipid,negative,78887.6,105164.9,182298.8,0.0,186493.9,0.0,63401.4,188437.2,138184.9,99059.2,123306.2,78112.3,MS2,FragmentB,[PE O-16:1/22:3 -H]-,-FA 22:3 (+HO),FA 22:3 (+O),,266573.9,302758.1,498215.5,0.0,534412.7,0.0,214934.6,409987.6,442267.2,286781.8,332003.2,256890.7,4997.1,14426.0,13326.9,0.0,18020.0,0.0,7924.2,17476.3,17514.0,14212.4,12319.7,8532.6,78887.6,105164.9,182298.8,0.0,186493.9,0.0,63401.4,188437.2,138184.9,99059.2,123306.2,78112.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,1.34,1.2,,436.283935546875,333.2803039550781,,-H+,-H+,,C21 H43 O6 N1 P1,C22 H37 O2,,C43 H80 O7 N1 P1
PE O-18:2/20:2,PE O-,752.5608489258783,,C43 H79 O7 N1 P1,,-H+,Glycerophospholipid,negative,42933.8,41897.3,94446.6,0.0,68632.5,0.0,33390.3,70887.1,84578.0,64138.0,65837.9,42090.1,MS2,FragmentB,[PE O-18:2/20:2 -H]-,-FA 20:2 (+HO),FA 20:2 (+O),,266573.9,302758.1,498215.5,0.0,534412.7,0.0,214934.6,409987.6,442267.2,286781.8,332003.2,256890.7,1851.2,3528.3,5957.6,0.0,5780.9,0.0,3161.9,6572.3,7824.6,5071.6,5074.7,1488.9,42933.8,41897.3,94446.6,0.0,68632.5,0.0,33390.3,70887.1,84578.0,64138.0,65837.9,42090.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,1.54,0.58,,462.2997131347656,307.2644348144531,,-H+,-H+,,C23 H45 O6 N1 P1,C20 H35 O2,,C43 H80 O7 N1 P1
PE O-18:1/20:3,PE O-,752.5608489258783,,C43 H79 O7 N1 P1,,-H+,Glycerophospholipid,negative,81526.6,65759.9,144094.6,0.0,109115.6,0.0,64875.5,114694.0,118133.9,95503.3,92175.7,60003.2,MS2,FragmentB,[PE O-18:1/20:3 -H]-,-FA 20:3 (+HO),FA 20:3 (+O),,266573.9,302758.1,498215.5,0.0,534412.7,0.0,214934.6,409987.6,442267.2,286781.8,332003.2,256890.7,17140.6,14624.0,24125.2,0.0,22907.1,0.0,19479.2,20889.7,23903.8,21004.4,18755.6,13166.9,81526.6,65759.9,144094.6,0.0,109115.6,0.0,64875.5,114694.0,118133.9,95503.3,92175.7,60003.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,1.15,0.67,,464.315185546875,305.2488098144531,,-H+,-H+,,C23 H47 O6 N1 P1,C20 H33 O2,,C43 H80 O7 N1 P1
PE O-16:1/22:2,PE O-,754.5765815929975,,C43 H81 O7 N1 P1,,-H+,Glycerophospholipid,negative,27293.6,22693.9,44232.6,0.0,39763.3,0.0,20545.1,38547.7,39835.8,32028.9,32495.5,25017.8,MS2,FragmentB,[PE O-16:1/22:2 -H]-,-FA 22:2 (+HO),FA 22:2 (+O),,59536.1,40826.0,105009.4,0.0,80118.0,0.0,38403.6,74171.7,86006.9,46098.4,17204.6,20969.0,1887.5,3014.7,4742.0,0.0,4066.4,0.0,1860.3,1123.5,3199.2,1244.0,3066.4,3495.9,27293.6,22693.9,44232.6,0.0,39763.3,0.0,20545.1,38547.7,39835.8,32028.9,32495.5,25017.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,2.11,0.75,,436.2842712402344,335.2958068847656,,-H+,-H+,,C21 H43 O6 N1 P1,C22 H39 O2,,C43 H82 O7 N1 P1
PE O-18:2/20:1,PE O-,754.5765815929975,,C43 H81 O7 N1 P1,,-H+,Glycerophospholipid,negative,61151.3,58226.6,133528.8,0.0,114307.4,0.0,54106.1,133947.6,130619.6,76710.9,70693.5,56307.0,MS2,FragmentB,[PE O-18:2/20:1 -H]-,-FA 20:1 (+HO),FA 20:1 (+O),,59536.1,40826.0,105009.4,0.0,80118.0,0.0,38403.6,74171.7,86006.9,46098.4,17204.6,20969.0,4729.2,3657.9,12538.9,0.0,11283.9,0.0,4957.6,11644.6,9982.1,4640.7,3484.8,3598.8,61151.3,58226.6,133528.8,0.0,114307.4,0.0,54106.1,133947.6,130619.6,76710.9,70693.5,56307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.69,0.8,,462.29931640625,309.2801513671875,,-H+,-H+,,C23 H45 O6 N1 P1,C20 H37 O2,,C43 H82 O7 N1 P1
PE O-18:1/20:2,PE O-,754.5765815929975,,C43 H81 O7 N1 P1,,-H+,Glycerophospholipid,negative,25616.5,38202.8,39428.7,0.0,34340.2,0.0,20736.4,31610.5,37061.8,36511.9,45283.4,25593.7,MS2,FragmentB,[PE O-18:1/20:2 -H]-,-FA 20:2 (+HO),FA 20:2 (+O),,59536.1,40826.0,105009.4,0.0,80118.0,0.0,38403.6,74171.7,86006.9,46098.4,17204.6,20969.0,4720.7,1485.0,8057.4,0.0,4641.5,0.0,4573.8,7884.4,8563.3,4776.7,7845.0,3113.3,25616.5,38202.8,39428.7,0.0,34340.2,0.0,20736.4,31610.5,37061.8,36511.9,45283.4,25593.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.3,0.48,,464.3147888183594,307.264404296875,,-H+,-H+,,C23 H47 O6 N1 P1,C20 H35 O2,,C43 H82 O7 N1 P1
PE O-18:0/20:3,PE O-,754.5765815929975,,C43 H81 O7 N1 P1,,-H+,Glycerophospholipid,negative,-1.7,10444.3,-1.7,0.0,7438.9,0.0,7150.3,11470.9,-1.7,145.0,11891.1,9492.2,MS2,FragmentB,[PE O-18:0/20:3 -H]-,-FA 20:3 (+HO),FA 20:3 (+O),,59536.1,40826.0,105009.4,0.0,80118.0,0.0,38403.6,74171.7,86006.9,46098.4,17204.6,20969.0,3732.4,4439.5,4845.4,0.0,5457.1,0.0,7100.3,4310.2,3794.6,1896.9,1581.6,5162.7,-1.7,10444.3,-1.7,0.0,7438.9,0.0,7150.3,11470.9,-1.7,145.0,11891.1,9492.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,-0.67,0.07,,466.3299865722656,305.2486267089844,,-H+,-H+,,C23 H49 O6 N1 P1,C20 H33 O2,,C43 H82 O7 N1 P1
PE O-16:1/22:1,PE O-,756.5921468454649,,C43 H83 O7 N1 P1,,-H+,Glycerophospholipid,negative,33353.6,0.0,58861.4,0.0,58225.0,0.0,0.0,57793.0,53735.8,34179.6,0.0,0.0,MS2,FragmentB,[PE O-16:1/22:1 -H]-,-FA 22:1 (+HO),FA 22:1 (+O),,25703.7,0.0,51562.6,0.0,50057.0,0.0,0.0,37352.4,31650.7,44603.6,0.0,0.0,6859.1,0.0,7351.5,0.0,4992.4,0.0,0.0,5572.0,7975.9,3404.3,0.0,0.0,33353.6,0.0,58861.4,0.0,58225.0,0.0,0.0,57793.0,53735.8,34179.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.29,0.85,,436.2834777832031,337.3114929199219,,-H+,-H+,,C21 H43 O6 N1 P1,C22 H41 O2,,C43 H84 O7 N1 P1
PE O-18:2/20:0,PE O-,756.5921468454649,,C43 H83 O7 N1 P1,,-H+,Glycerophospholipid,negative,11706.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14938.6,9686.9,0.0,0.0,MS2,FragmentB,[PE O-18:2/20:0 -H]-,-FA 20:0 (+HO),FA 20:0 (+O),,25703.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31650.7,44603.6,0.0,0.0,801.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1414.7,968.9,0.0,0.0,11706.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14938.6,9686.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.36,0.81,,462.2991638183594,311.2958068847656,,-H+,-H+,,C23 H45 O6 N1 P1,C20 H39 O2,,C43 H84 O7 N1 P1
PE O-18:1/20:1,PE O-,756.5921468454649,,C43 H83 O7 N1 P1,,-H+,Glycerophospholipid,negative,36130.7,0.0,56823.8,0.0,51683.5,0.0,0.0,56836.1,61321.8,49136.4,0.0,0.0,MS2,FragmentB,[PE O-18:1/20:1 -H]-,-FA 20:1 (+HO),FA 20:1 (+O),,25703.7,0.0,51562.6,0.0,50057.0,0.0,0.0,37352.4,31650.7,44603.6,0.0,0.0,3780.6,0.0,6024.1,0.0,6278.2,0.0,0.0,3771.5,3754.1,1627.3,0.0,0.0,36130.7,0.0,56823.8,0.0,51683.5,0.0,0.0,56836.1,61321.8,49136.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,-0.03,0.4,,464.3146362304688,309.280029296875,,-H+,-H+,,C23 H47 O6 N1 P1,C20 H37 O2,,C43 H84 O7 N1 P1
PE O-18:0/20:2,PE O-,756.5921468454649,,C43 H83 O7 N1 P1,,-H+,Glycerophospholipid,negative,4616.3,0.0,0.0,0.0,0.0,0.0,0.0,6485.4,3779.2,0.0,0.0,0.0,MS2,FragmentB,[PE O-18:0/20:2 -H]-,-FA 20:2 (+HO),FA 20:2 (+O),,25703.7,0.0,0.0,0.0,0.0,0.0,0.0,37352.4,31650.7,0.0,0.0,0.0,1276.3,0.0,0.0,0.0,0.0,0.0,0.0,1000.1,915.6,0.0,0.0,0.0,4616.3,0.0,0.0,0.0,0.0,0.0,0.0,6485.4,3779.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,1.68,0.39,,466.3310852050781,307.2643737792969,,-H+,-H+,,C23 H49 O6 N1 P1,C20 H35 O2,,C43 H84 O7 N1 P1
PE O-17:1/22:6,PE O-,760.5287888299748,,C44 H75 O7 N1 P1,,-H+,Glycerophospholipid,negative,13954.1,0.0,0.0,0.0,22486.8,0.0,0.0,0.0,14655.6,0.0,10757.6,0.0,MS2,FragmentB,[PE O-17:1/22:6 -H]-,-FA 22:6 (+HO),FA 22:6 (+O),,26688.3,0.0,0.0,0.0,37474.7,0.0,0.0,0.0,39454.9,0.0,26876.6,0.0,9923.5,0.0,0.0,0.0,7589.4,0.0,0.0,0.0,9613.3,0.0,8288.8,0.0,13954.1,0.0,0.0,0.0,22486.8,0.0,0.0,0.0,14655.6,0.0,10757.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.6,0.52,,450.3001708984375,327.2331237792969,,-H+,-H+,,C22 H45 O6 N1 P1,C22 H31 O2,,C44 H76 O7 N1 P1
PE O-17:1/22:4,PE O-,764.5600421684783,,C44 H79 O7 N1 P1,,-H+,Glycerophospholipid,negative,0.0,0.0,138754.0,0.0,108935.8,0.0,60772.1,111556.3,98713.0,90736.5,128662.0,55436.3,MS2,FragmentB,[PE O-17:1/22:4 -H]-,-FA 22:4 (+HO),FA 22:4 (+O),,0.0,0.0,49251.4,0.0,32054.4,0.0,25555.7,36897.0,51623.3,27103.8,40517.3,28898.7,0.0,0.0,10869.1,0.0,16992.3,0.0,3568.4,11529.2,12477.5,6801.0,10076.0,4080.7,0.0,0.0,138754.0,0.0,108935.8,0.0,60772.1,111556.3,98713.0,90736.5,128662.0,55436.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.67,0.73,,450.3002014160156,331.2644958496094,,-H+,-H+,,C22 H45 O6 N1 P1,C22 H35 O2,,C44 H80 O7 N1 P1
PE O-19:1/20:4,PE O-,764.5600421684783,,C44 H79 O7 N1 P1,,-H+,Glycerophospholipid,negative,0.0,0.0,888019.6,0.0,722939.3,0.0,0.0,718439.2,714837.0,485477.5,712382.0,441193.1,MS2,FragmentB,[PE O-19:1/20:4 -H]-,-FA 20:4 (+HO),FA 20:4 (+O),,0.0,0.0,49251.4,0.0,32054.4,0.0,0.0,36897.0,51623.3,27103.8,40517.3,28898.7,0.0,0.0,9938.1,0.0,5554.2,0.0,0.0,7086.0,12000.3,3720.5,8872.4,3565.3,0.0,0.0,888019.6,0.0,722939.3,0.0,0.0,718439.2,714837.0,485477.5,712382.0,441193.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.35,,478.3304443359375,303.2330627441406,,-H+,-H+,,C24 H49 O6 N1 P1,C20 H31 O2,,C44 H80 O7 N1 P1
PE O-20:4/20:4,PE O-,772.5293630982935,,C45 H75 O7 N1 P1,,-H+,Glycerophospholipid,negative,0.0,0.0,20590.2,0.0,19929.3,0.0,0.0,13550.6,20119.2,0.0,19350.2,0.0,MS2,FragmentB,[PE O-20:4/20:4 -H]-,-FA 20:4 (+HO),FA 20:4 (+O),,0.0,0.0,730458.0,0.0,703901.9,0.0,0.0,646444.1,702360.7,0.0,503860.4,0.0,0.0,0.0,3876.4,0.0,1968.8,0.0,0.0,3361.5,1362.7,0.0,1568.3,0.0,0.0,0.0,20590.2,0.0,19929.3,0.0,0.0,13550.6,20119.2,0.0,19350.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.15,0.56,,486.299560546875,303.2331237792969,,-H+,-H+,,C25 H45 O6 N1 P1,C20 H31 O2,,C45 H76 O7 N1 P1
PE O-18:3/22:5,PE O-,772.5295992740732,,C45 H75 O7 N1 P1,,-H+,Glycerophospholipid,negative,14855.0,11375.1,21960.5,0.0,15590.2,0.0,6166.5,18124.0,20425.2,18107.0,12362.3,11524.8,MS2,FragmentB,[PE O-18:3/22:5 -H]-,-FA 22:5 (+HO),FA 22:5 (+O),,389700.6,465777.0,730458.0,0.0,703901.9,0.0,361837.6,646444.1,702360.7,480118.7,503860.4,387955.5,3684.9,4557.6,5285.9,0.0,5878.9,0.0,1376.3,4437.8,4376.4,2218.7,1156.4,1985.7,14855.0,11375.1,21960.5,0.0,15590.2,0.0,6166.5,18124.0,20425.2,18107.0,12362.3,11524.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,1.27,0.44,,460.283935546875,329.2487487792969,,-H+,-H+,,C23 H43 O6 N1 P1,C22 H33 O2,,C45 H76 O7 N1 P1
PE O-18:2/22:6,PE O-,772.5295992740732,,C45 H75 O7 N1 P1,,-H+,Glycerophospholipid,negative,80949.4,85402.2,132075.8,0.0,116911.8,0.0,62798.0,116853.9,113767.0,91450.5,109439.9,70788.9,MS2,FragmentB,[PE O-18:2/22:6 -H]-,-FA 22:6 (+HO),FA 22:6 (+O),,389700.6,465777.0,730458.0,0.0,703901.9,0.0,361837.6,646444.1,702360.7,480118.7,503860.4,387955.5,59618.9,79557.7,118590.1,0.0,102859.9,0.0,55591.9,112170.2,107375.6,73216.5,93799.6,68599.9,80949.4,85402.2,132075.8,0.0,116911.8,0.0,62798.0,116853.9,113767.0,91450.5,109439.9,70788.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,1.41,0.79,,462.2996520996094,327.23321533203125,,-H+,-H+,,C23 H45 O6 N1 P1,C22 H31 O2,,C45 H76 O7 N1 P1
PE O-18:3/22:4,PE O-,774.5452284171874,,C45 H77 O7 N1 P1,,-H+,Glycerophospholipid,negative,62216.5,66916.2,98303.3,0.0,65887.5,0.0,54992.7,67739.9,73599.4,71097.1,73456.7,61290.4,MS2,FragmentB,[PE O-18:3/22:4 -H]-,-FA 22:4 (+HO),FA 22:4 (+O),,881282.7,865348.3,1331158.8,0.0,1163115.4,0.0,630672.1,1096644.7,1221281.2,1016018.4,993618.2,698227.9,7705.7,7808.6,11711.5,0.0,8255.4,0.0,6361.2,6799.4,7792.2,5654.9,10784.8,6526.5,62216.5,66916.2,98303.3,0.0,65887.5,0.0,54992.7,67739.9,73599.4,71097.1,73456.7,61290.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,1.8,0.63,,460.2841796875,331.26446533203125,,-H+,-H+,,C23 H43 O6 N1 P1,C22 H35 O2,,C45 H78 O7 N1 P1
PE O-18:2/22:5,PE O-,774.5452284171874,,C45 H77 O7 N1 P1,,-H+,Glycerophospholipid,negative,107474.8,112651.2,255434.5,0.0,233925.2,0.0,107532.2,236573.9,215213.8,127328.0,111229.2,103870.8,MS2,FragmentB,[PE O-18:2/22:5 -H]-,-FA 22:5 (+HO),FA 22:5 (+O),,881282.7,865348.3,1331158.8,0.0,1163115.4,0.0,630672.1,1096644.7,1221281.2,1016018.4,993618.2,698227.9,27183.8,23132.6,54420.9,0.0,55584.5,0.0,23555.8,45351.4,46422.8,31425.7,33089.0,32347.1,107474.8,112651.2,255434.5,0.0,233925.2,0.0,107532.2,236573.9,215213.8,127328.0,111229.2,103870.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.82,0.62,,462.2993774414063,329.2488098144531,,-H+,-H+,,C23 H45 O6 N1 P1,C22 H33 O2,,C45 H78 O7 N1 P1
PE O-18:1/22:6,PE O-,774.5452284171874,,C45 H77 O7 N1 P1,,-H+,Glycerophospholipid,negative,126637.7,131653.1,162964.3,0.0,131256.8,0.0,85697.1,126667.9,121755.6,139481.1,141438.8,101762.2,MS2,FragmentB,[PE O-18:1/22:6 -H]-,-FA 22:6 (+HO),FA 22:6 (+O),,881282.7,865348.3,1331158.8,0.0,1163115.4,0.0,630672.1,1096644.7,1221281.2,1016018.4,993618.2,698227.9,110112.3,112126.1,151352.7,0.0,111742.1,0.0,76512.4,117151.8,123214.8,121387.0,126153.2,92027.7,126637.7,131653.1,162964.3,0.0,131256.8,0.0,85697.1,126667.9,121755.6,139481.1,141438.8,101762.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.83,0.52,,464.3150329589844,327.2331237792969,,-H+,-H+,,C23 H47 O6 N1 P1,C22 H31 O2,,C45 H78 O7 N1 P1
PE O-20:3/20:4,PE O-,774.5452284171874,,C45 H77 O7 N1 P1,,-H+,Glycerophospholipid,negative,73349.7,79452.4,81193.1,0.0,58724.2,0.0,87793.6,71271.3,71776.3,86823.4,79395.2,78169.4,MS2,FragmentB,[PE O-20:3/20:4 -H]-,-FA 20:4 (+HO),FA 20:4 (+O),,881282.7,865348.3,1331158.8,0.0,1163115.4,0.0,630672.1,1096644.7,1221281.2,1016018.4,993618.2,698227.9,5553.8,9628.2,9542.0,0.0,6262.0,0.0,4527.0,4934.4,5225.0,6932.1,11878.8,5288.6,73349.7,79452.4,81193.1,0.0,58724.2,0.0,87793.6,71271.3,71776.3,86823.4,79395.2,78169.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.66,0.56,,488.3149719238281,303.2331237792969,,-H+,-H+,,C25 H47 O6 N1 P1,C20 H31 O2,,C45 H78 O7 N1 P1
PE O-18:2/22:4,PE O-,776.5607873286272,,C45 H79 O7 N1 P1,,-H+,Glycerophospholipid,negative,334108.9,489363.1,745384.5,0.0,632539.2,0.0,342867.5,676991.2,654957.1,437800.2,664072.0,373426.4,MS2,FragmentB,[PE O-18:2/22:4 -H]-,-FA 22:4 (+HO),FA 22:4 (+O),,649521.2,751471.2,1154676.1,0.0,1158435.0,0.0,459085.5,1071074.0,1079379.2,704888.3,839739.1,568025.2,48329.8,76273.4,103518.8,0.0,91102.0,0.0,43527.2,95161.5,93484.9,58759.8,93652.2,50136.1,334108.9,489363.1,745384.5,0.0,632539.2,0.0,342867.5,676991.2,654957.1,437800.2,664072.0,373426.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.02,0.54,,462.2994689941406,331.2644348144531,,-H+,-H+,,C23 H45 O6 N1 P1,C22 H35 O2,,C45 H80 O7 N1 P1
PE O-18:1/22:5,PE O-,776.5607873286272,,C45 H79 O7 N1 P1,,-H+,Glycerophospholipid,negative,139626.3,146502.3,292017.5,0.0,259461.4,0.0,116637.4,286045.5,283204.9,184536.3,186577.8,135793.8,MS2,FragmentB,[PE O-18:1/22:5 -H]-,-FA 22:5 (+HO),FA 22:5 (+O),,649521.2,751471.2,1154676.1,0.0,1158435.0,0.0,459085.5,1071074.0,1079379.2,704888.3,839739.1,568025.2,71926.1,66271.1,119700.8,0.0,113155.1,0.0,65204.5,107608.4,112701.6,79905.0,105806.1,79449.5,139626.3,146502.3,292017.5,0.0,259461.4,0.0,116637.4,286045.5,283204.9,184536.3,186577.8,135793.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.5,0.62,,464.31488037109375,329.2488098144531,,-H+,-H+,,C23 H47 O6 N1 P1,C22 H33 O2,,C45 H80 O7 N1 P1
